h3_index,geometry,centroid_lat,centroid_lon,population,population_density,median_income,income_band,age_median,target_age_fit,target_income_fit,road_length_km,road_density,highway_distance_km,highway_access_score,poi_count,competitor_count_500m,competitor_count_1km,competitor_count_2km,competitor_count_5km,complementary_count_500m,complementary_count_1km,complementary_count_2km,anchor_count_500m,anchor_count_1km,anchor_distance_km,competition_score,complementary_score,anchor_score,dominant_zone_class,commercial_area_pct,industrial_area_pct,residential_area_pct,flood_zone,in_sfha,flood_score,aqi,air_quality_score,human_evaluation_score
8848984041fffff,"POLYGON((-97.869616 30.677169, -97.864662 30.679914, -97.864997 30.685048, -97.870288 30.687438, -97.875243 30.684693, -97.874907 30.679558, -97.869616 30.677169))",30.682303,-97.869952,220,298.51,70871,middle,47.59,0.5415,0.8889,0.221,0.3,12.502,0.0,2,0,0,0,0,1,2,2,0,0,26.135,0.4352,0.3386,0.0,agricultural,28.55,6.43,5.52,X,False,0.7527,50.7,0.773,4.5
8848984045fffff,"POLYGON((-97.859372 30.677524, -97.854417 30.680269, -97.854752 30.685403, -97.860042 30.687793, -97.864997 30.685048, -97.864662 30.679914, -97.859372 30.677524))",30.682659,-97.859707,134,181.82,79127,middle,42.03,0.7825,0.8617,0.561,0.762,11.541,0.0022,6,0,0,0,0,0,0,0,0,0,25.847,0.4295,0.0034,0.0,industrial,0.0,29.78,0.0,AE,True,0.2234,56.9,0.7215,1.5
8848984049fffff,"POLYGON((-97.874235 30.669289, -97.869281 30.672034, -97.869616 30.677169, -97.874907 30.679558, -97.879861 30.676813, -97.879525 30.671678, -97.874235 30.669289))",30.674423,-97.874571,169,229.31,73691,middle,42.61,0.6938,0.9769,1.822,2.473,12.752,0.0547,3,0,0,0,1,0,0,0,0,0,26.276,0.3725,0.0,0.0253,residential,20.0,16.14,36.51,X,False,0.8091,55.8,0.7104,3.8
884898404bfffff,"POLYGON((-97.879861 30.676813, -97.874907 30.679558, -97.875243 30.684693, -97.880533 30.687082, -97.885488 30.684336, -97.885152 30.679202, -97.879861 30.676813))",30.681947,-97.880197,172,233.38,84462,middle,46.6,0.5026,0.8174,1.222,1.659,13.403,0.0107,5,0,0,0,0,0,0,0,0,0,27.219,0.3344,0.0,0.0125,industrial,6.23,53.99,0.09,X,False,0.9471,55.8,0.6787,5.1
884898404dfffff,"POLYGON((-97.863991 30.669645, -97.859037 30.672390, -97.859372 30.677524, -97.864662 30.679914, -97.869616 30.677169, -97.869281 30.672034, -97.863991 30.669645))",30.674779,-97.864326,117,158.75,79086,middle,50.61,0.266,0.8728,0.221,0.3,12.327,0.0,1,0,0,0,0,0,0,0,0,0,25.77,0.4047,0.0,0.0303,industrial,22.32,23.11,15.69,X,False,0.9294,66.6,0.6014,3.6
8848984069fffff,"POLYGON((-97.849128 30.677879, -97.844173 30.680623, -97.844508 30.685757, -97.849797 30.688147, -97.854752 30.685403, -97.854417 30.680269, -97.849128 30.677879))",30.683013,-97.849463,146,198.1,80797,middle,42.11,0.7277,0.8298,0.8,1.086,10.816,0.0387,3,0,0,0,1,0,0,0,1,1,25.596,0.4458,0.0383,0.0287,agricultural,5.06,0.0,54.31,X,False,0.9458,56.5,0.7052,3.5
884898406dfffff,"POLYGON((-97.838884 30.678232, -97.833930 30.680976, -97.834264 30.686110, -97.839553 30.688501, -97.844508 30.685757, -97.844173 30.680623, -97.838884 30.678232))",30.683366,-97.839219,151,204.88,64486,lower_middle,44.87,0.7329,1.0,0.62,0.841,9.628,0.0317,8,0,1,1,1,1,3,3,0,0,24.602,0.586,0.4535,0.0,agricultural,22.29,12.98,19.47,X,False,0.9119,57.4,0.7048,4.0
8848984149fffff,"POLYGON((-97.802537 30.671763, -97.797583 30.674505, -97.797915 30.679639, -97.803202 30.682031, -97.808157 30.679288, -97.807824 30.674154, -97.802537 30.671763))",30.676897,-97.80287,161,218.45,61467,lower_middle,47.21,0.4821,0.9264,2.37,3.216,6.482,0.1446,6,0,0,1,1,0,0,0,0,0,22.052,0.6731,0.0,0.0221,agricultural,0.09,2.3,49.21,X,False,0.7662,60.8,0.6373,2.7
884898414dfffff,"POLYGON((-97.792296 30.672113, -97.787342 30.674854, -97.787674 30.679988, -97.792961 30.682380, -97.797915 30.679639, -97.797583 30.674505, -97.792296 30.672113))",30.677247,-97.792629,199,270.01,69026,lower_middle,48.77,0.4829,0.9741,2.358,3.2,5.799,0.1509,2,0,0,0,0,0,0,0,0,0,21.527,0.4087,0.0,0.0,industrial,4.14,36.29,27.89,X,False,0.9213,47.3,0.7785,5.3
8848984201fffff,"POLYGON((-97.898330 30.645287, -97.893377 30.648034, -97.893714 30.653169, -97.899004 30.655557, -97.903958 30.652810, -97.903621 30.647675, -97.898330 30.645287))",30.650422,-97.898667,153,207.6,75274,middle,48.53,0.4609,0.9375,0.58,0.787,14.886,0.0203,4,0,0,0,0,0,0,0,0,0,26.406,0.41,0.0,0.0,industrial,1.01,35.96,16.67,X,False,0.8637,60.8,0.6732,4.7
8848984203fffff,"POLYGON((-97.903958 30.652810, -97.899004 30.655557, -97.899341 30.660693, -97.904632 30.663081, -97.909586 30.660334, -97.909249 30.655198, -97.903958 30.652810))",30.657946,-97.904295,183,248.3,67229,lower_middle,47.44,0.4697,0.9643,0.937,1.271,15.727,0.0359,5,0,0,0,0,0,0,0,0,0,27.193,0.3866,0.0482,0.0,industrial,0.0,25.46,23.66,X,False,0.9275,51.0,0.7424,3.8
8848984205fffff,"POLYGON((-97.888087 30.645645, -97.883134 30.648392, -97.883470 30.653527, -97.888760 30.655916, -97.893714 30.653169, -97.893377 30.648034, -97.888087 30.645645))",30.65078,-97.888424,179,242.88,80179,middle,46.95,0.5049,0.8344,0.882,1.197,13.904,0.0073,3,0,0,0,0,0,0,0,0,0,25.513,0.3703,0.0333,0.0,agricultural,0.0,0.0,0.0,X,False,0.9034,54.6,0.7483,3.5
8848984207fffff,"POLYGON((-97.893714 30.653169, -97.888760 30.655916, -97.889097 30.661051, -97.894387 30.663439, -97.899341 30.660693, -97.899004 30.655557, -97.893714 30.653169))",30.658304,-97.894051,261,354.14,79014,middle,42.49,0.7026,0.7161,0.59,0.801,14.813,0.0,3,0,0,0,0,0,0,0,0,0,26.79,0.383,0.0,0.0,industrial,0.0,21.88,0.0,X,False,0.802,48.0,0.7852,4.3
8848984209fffff,"POLYGON((-97.902946 30.637404, -97.897994 30.640151, -97.898330 30.645287, -97.903621 30.647675, -97.908574 30.644927, -97.908236 30.639792, -97.902946 30.637404))",30.642539,-97.903283,273,370.42,87747,middle,39.89,0.7907,0.7271,0.221,0.3,15.693,0.0,2,0,0,0,0,1,1,1,0,0,26.366,0.4199,0.1619,0.0615,agricultural,20.75,9.02,12.31,X,False,0.8256,46.9,0.7924,3.6
884898420bfffff,"POLYGON((-97.908574 30.644927, -97.903621 30.647675, -97.903958 30.652810, -97.909249 30.655198, -97.914202 30.652451, -97.913865 30.647315, -97.908574 30.644927))",30.650063,-97.908911,81,109.91,63750,lower_middle,47.85,0.4051,0.9094,0.221,0.3,16.154,0.0199,3,0,0,0,0,0,0,1,0,0,27.209,0.4659,0.112,0.0541,industrial,7.73,31.4,2.3,X,False,0.8744,38.1,0.8585,4.4
